key,key:userAccount,name,benefits,web-page,email
sponsor-01,user-account-sponsor-01,Lorem ipsum,Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-02.1,user-account-sponsor-02,L,Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-02.2,user-account-sponsor-02.2,Lo,Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-02.3,user-account-sponsor-02.3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod te",Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-02.4,user-account-sponsor-02.4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tem",Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-02.5,user-account-sponsor-02.5,<h1>!</h1>,Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-02.6,user-account-sponsor-02.6,' or 'A'='A,Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-02.7,user-account-sponsor-02.7,국민경제의 발전을,Lorem ipsum,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-03.1,user-account-sponsor-03.1,Lorem ipsum,L,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-03.2,user-account-sponsor-03.2,Lorem ipsum,Lo,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-03.3,user-account-sponsor-03.3,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore",http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-03.4,user-account-sponsor-03.4,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore*",http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-03.5,user-account-sponsor-03.5,Lorem ipsum,<h1>!</h1>,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
sponsor-03.6,user-account-sponsor-03.6,Lorem ipsum,' or 'A'='A,http://www.lorem-ipsum.org,acme@lorem-ipsum.org
